ticker,date,open,high,low,close
IOT,2021-12-15,24.9,25.25,23.75,24.7
IOT,2021-12-16,24.94,25.0,23.11,23.23
IOT,2021-12-17,23.0,23.09,21.8,22.32
IOT,2021-12-20,22.58,24.05,22.5,23.82
IOT,2021-12-21,24.08,26.2,24.05,25.36
IOT,2021-12-22,25.81,27.38,25.7,27.0
IOT,2021-12-23,27.0,27.69,26.12,27.61
IOT,2021-12-27,27.9,31.41,27.51,29.37
IOT,2021-12-28,30.0,30.39,27.27,27.54
IOT,2021-12-29,27.46,28.0,25.71,26.96
IOT,2021-12-30,27.0,28.0,26.22,26.57
IOT,2021-12-31,28.09,28.89,26.21,28.11
IOT,2022-01-03,28.75,29.1,26.7,26.77
IOT,2022-01-04,27.17,27.17,24.02,25.03
IOT,2022-01-05,25.48,25.48,22.51,23.01
IOT,2022-01-06,23.01,24.19,21.81,22.99
IOT,2022-01-07,22.99,23.52,22.75,23.22
IOT,2022-01-10,22.64,23.11,20.89,22.99
IOT,2022-01-11,22.9,24.68,22.71,24.43
IOT,2022-01-12,24.99,26.8,24.5,24.75
IOT,2022-01-13,25.21,26.35,24.18,24.2
IOT,2022-01-14,23.88,24.3,22.66,22.91
IOT,2022-01-18,22.4,22.59,20.73,21.31
IOT,2022-01-19,21.31,21.71,19.5,20.35
IOT,2022-01-20,20.56,21.72,20.46,21.12
IOT,2022-01-21,21.12,21.69,19.15,19.4
IOT,2022-01-24,18.9,18.99,14.55,17.62
IOT,2022-01-25,17.34,18.25,16.65,17.65
IOT,2022-01-26,18.1,18.43,16.59,17.28
IOT,2022-01-27,17.73,18.32,16.08,16.11
IOT,2022-01-28,16.0,17.24,14.94,16.66
IOT,2022-01-31,16.75,18.47,16.75,18.1
IOT,2022-02-01,18.1,21.75,17.97,21.22
IOT,2022-02-02,21.3,21.84,18.98,21.6
IOT,2022-02-03,20.52,20.98,18.09,18.51
IOT,2022-02-04,18.52,21.0,17.53,20.56
IOT,2022-02-07,20.2,21.48,19.99,20.25
IOT,2022-02-08,20.04,21.9,19.52,21.89
IOT,2022-02-09,22.27,24.69,21.84,24.47
IOT,2022-02-10,23.81,25.42,23.05,23.34
IOT,2022-02-11,23.27,24.05,20.87,20.93
IOT,2022-02-14,20.76,22.75,20.57,21.71
IOT,2022-02-15,21.99,22.73,21.65,22.44
IOT,2022-02-16,22.24,23.52,20.54,20.96
IOT,2022-02-17,20.5,20.89,18.36,18.8
IOT,2022-02-18,18.71,18.8,16.55,17.11
IOT,2022-02-22,17.11,18.13,16.01,16.37
IOT,2022-02-23,16.52,17.0,15.66,15.89
IOT,2022-02-24,15.03,17.15,15.03,16.86
IOT,2022-02-25,16.9,17.47,15.64,17.01
IOT,2022-02-28,16.92,17.57,16.48,17.48
IOT,2022-03-01,17.42,18.55,17.16,17.47
IOT,2022-03-02,17.53,17.88,16.27,16.56
IOT,2022-03-03,18.73,19.45,16.11,16.82
IOT,2022-03-04,16.51,18.05,15.38,15.52
IOT,2022-03-07,15.87,17.44,14.52,14.65
IOT,2022-03-08,14.77,17.34,14.21,16.21
IOT,2022-03-09,16.56,18.22,16.56,17.44
IOT,2022-03-10,16.98,17.52,16.39,16.85
IOT,2022-03-11,16.81,17.2,15.1,15.15
IOT,2022-03-14,15.45,15.64,13.78,13.99
IOT,2022-03-15,14.03,14.9,12.51,13.69
IOT,2022-03-16,13.99,15.55,13.9,15.16
IOT,2022-03-17,15.4,16.7,14.62,16.52
IOT,2022-03-18,15.89,17.32,15.89,16.81
IOT,2022-03-21,16.67,17.36,15.95,16.54
IOT,2022-03-22,16.8,17.78,16.14,17.48
IOT,2022-03-23,16.82,17.79,16.25,17.62
IOT,2022-03-24,17.35,18.08,16.84,17.94
IOT,2022-03-25,17.85,17.91,17.0,17.47
IOT,2022-03-28,17.3,18.26,16.9,17.9
IOT,2022-03-29,17.9,18.48,17.65,17.94
IOT,2022-03-30,17.81,18.41,17.05,17.2
IOT,2022-03-31,16.97,17.32,15.65,16.02
IOT,2022-04-01,15.85,17.24,15.72,16.3
IOT,2022-04-04,16.43,17.65,16.15,17.37
IOT,2022-04-05,17.27,17.54,15.62,15.91
IOT,2022-04-06,15.49,15.65,13.69,14.47
IOT,2022-04-07,14.4,14.78,13.57,14.32
IOT,2022-04-08,14.1,14.14,13.41,13.44
IOT,2022-04-11,13.18,13.66,12.89,13.34
IOT,2022-04-12,13.55,14.4,13.35,13.53
IOT,2022-04-13,13.58,14.58,13.25,14.34
IOT,2022-04-14,14.29,14.59,13.25,13.31
IOT,2022-04-18,13.32,13.6,12.69,13.18
IOT,2022-04-19,13.18,14.39,12.83,14.24
IOT,2022-04-20,14.31,14.39,12.98,13.26
IOT,2022-04-21,13.85,14.35,12.9,13.06
IOT,2022-04-22,13.24,13.7,12.82,13.14
IOT,2022-04-25,13.1,13.95,13.0,13.86
IOT,2022-04-26,13.84,13.9,12.78,13.09
IOT,2022-04-27,13.21,13.85,13.01,13.25
IOT,2022-04-28,13.44,13.75,12.69,13.23
IOT,2022-04-29,13.25,14.12,12.3,12.34
IOT,2022-05-02,12.24,12.77,12.01,12.74
IOT,2022-05-03,12.63,13.12,12.4,12.66
IOT,2022-05-04,12.75,12.92,11.52,12.87
