ticker,date,open,high,low,close
S,2021-06-30,46.0,46.5,41.11,42.5
S,2021-07-01,44.28,44.75,39.94,40.04
S,2021-07-02,42.11,45.2,41.33,44.59
S,2021-07-06,45.81,50.59,45.53,49.5
S,2021-07-07,52.98,54.05,49.8,51.49
S,2021-07-08,50.0,50.98,45.25,50.0
S,2021-07-09,51.38,51.8,48.25,49.24
S,2021-07-12,50.5,51.17,48.41,50.58
S,2021-07-13,50.63,51.04,47.33,49.01
S,2021-07-14,49.01,50.14,44.99,46.0
S,2021-07-15,47.06,47.24,42.8,43.4
S,2021-07-16,43.5,47.35,43.21,44.15
S,2021-07-19,43.91,47.82,43.02,47.0
S,2021-07-20,47.24,47.75,45.26,47.45
S,2021-07-21,47.45,49.31,46.55,47.1
S,2021-07-22,46.35,48.7,45.82,47.77
S,2021-07-23,48.09,49.2,46.06,46.56
S,2021-07-26,48.49,50.38,47.72,49.5
S,2021-07-27,49.75,50.03,46.67,47.6
S,2021-07-28,48.0,50.87,48.0,49.81
S,2021-07-29,50.4,51.74,49.67,50.56
S,2021-07-30,50.0,55.29,48.59,49.31
S,2021-08-02,50.7,53.03,50.17,51.97
S,2021-08-03,52.12,53.5,51.37,51.87
S,2021-08-04,51.5,51.96,49.63,50.06
S,2021-08-05,50.0,52.7,49.75,52.5
S,2021-08-06,52.53,53.09,50.35,50.89
S,2021-08-09,51.08,51.96,49.7,50.61
S,2021-08-10,50.59,51.25,49.01,49.31
S,2021-08-11,49.01,49.12,46.57,46.64
S,2021-08-12,47.1,50.33,46.65,49.68
S,2021-08-13,49.68,50.95,48.88,50.36
S,2021-08-16,49.49,50.28,47.54,49.35
S,2021-08-17,48.5,48.5,46.25,47.02
S,2021-08-18,47.24,49.78,47.24,48.7
S,2021-08-19,47.99,51.5,47.78,50.36
S,2021-08-20,50.01,51.36,49.13,51.29
S,2021-08-23,51.2,56.0,51.2,53.13
S,2021-08-24,54.97,59.12,54.5,56.7
S,2021-08-25,57.7,60.11,55.86,59.39
S,2021-08-26,59.64,64.03,59.46,61.01
S,2021-08-27,62.5,66.0,62.35,64.9
S,2021-08-30,65.03,66.66,64.18,65.19
S,2021-08-31,64.73,65.56,63.83,63.93
S,2021-09-01,63.43,68.7,63.31,67.26
S,2021-09-02,68.61,68.77,64.34,64.78
S,2021-09-03,64.68,69.42,64.64,69.04
S,2021-09-07,69.48,73.47,69.48,71.01
S,2021-09-08,70.18,70.65,65.51,68.24
S,2021-09-09,69.11,72.95,62.04,66.04
S,2021-09-10,67.0,68.0,62.01,63.75
S,2021-09-13,64.18,64.44,58.52,61.0
S,2021-09-14,61.5,62.89,61.09,62.1
S,2021-09-15,61.5,67.55,61.35,67.51
S,2021-09-16,67.06,72.76,66.76,72.75
S,2021-09-17,71.7,72.4,66.81,69.25
S,2021-09-20,64.0,66.66,62.0,63.88
S,2021-09-21,64.81,65.19,61.8,64.16
S,2021-09-22,64.62,65.52,62.5,64.36
S,2021-09-23,64.53,65.0,60.1,60.87
S,2021-09-24,60.01,62.34,60.0,61.06
S,2021-09-27,60.05,60.53,56.41,57.1
S,2021-09-28,55.38,56.96,53.85,55.65
S,2021-09-29,55.8,58.77,54.38,54.38
S,2021-09-30,55.16,56.28,52.96,53.57
S,2021-10-01,54.03,55.9,52.09,55.24
S,2021-10-04,55.32,55.49,50.58,51.37
S,2021-10-05,51.5,53.88,50.99,51.35
S,2021-10-06,50.5,53.94,50.49,53.49
S,2021-10-07,54.51,59.0,54.3,56.76
S,2021-10-08,57.32,57.94,54.65,54.65
S,2021-10-11,54.03,54.94,52.15,52.39
S,2021-10-12,53.56,56.49,52.82,54.94
S,2021-10-13,55.28,59.75,55.28,59.06
S,2021-10-14,61.06,62.94,59.38,60.0
S,2021-10-15,61.05,61.12,58.2,59.58
S,2021-10-18,59.61,63.66,59.58,62.64
S,2021-10-19,63.61,64.98,61.26,62.49
S,2021-10-20,63.0,63.8,61.23,62.56
S,2021-10-21,62.78,67.96,62.5,65.76
S,2021-10-22,66.13,66.27,63.01,63.79
S,2021-10-25,64.07,66.5,63.19,65.26
S,2021-10-26,66.36,67.78,63.82,66.0
S,2021-10-27,66.11,68.5,63.51,63.79
S,2021-10-28,63.7,64.8,61.81,64.01
S,2021-10-29,64.0,67.25,63.9,66.4
S,2021-11-01,66.68,67.2,63.69,66.97
S,2021-11-02,67.0,70.67,62.76,64.23
S,2021-11-03,64.14,66.3,63.25,65.83
S,2021-11-04,65.79,69.88,65.31,69.27
S,2021-11-05,69.5,69.5,63.88,66.91
S,2021-11-08,66.78,70.3,66.47,69.89
